Product Id,Product Name,Color,Material,Net Quantity,Brand Name,Emotion,Price,Description
1,Sunshine Yellow Shirt,Yellow,Cotton,1 piece,SunnyWear,Happy,$20 ,
2,Joyful Floral Dress,Multicolor,Polyester,1 piece,Blooming,Happy,$35 ,
3,Smiling Emoji Pillow,Yellow,Velvet,1 piece,CozyHome,Happy,$15 ,
4,Cheerful Coffee Mug,White,Ceramic,1 piece,BrewBuddy,Happy,$10 ,
5,Laughing Baby Onesie,Blue,Cotton,1 piece,TinyTots,Happy,$25 ,
6,Vibrant Rainbow Socks,Rainbow,Cotton Blend,1 pair,HappyFeet,Happy,$8 ,
7,Smiley Face Backpack,Yellow,Canvas,1 piece,AdventureGear,Happy,$30 ,
8,Happy Hour Cocktail Shaker,Silver,Stainless Steel,1 piece,MixMaster,Happy,$40 ,
9,Sunny Day Beach Towel,Orange,Microfiber,1 piece,BeachBliss,Happy,$18 ,
10,Joyful Jigsaw Puzzle,Multicolor,Cardboard,1 piece,PuzzleLand,Happy,$12 ,
11,Giggling Plush Teddy Bear,Brown,Plush,1 piece,CuddleBuddy,Happy,$15 ,
12,Ecstatic Energy Drink,Red,Energy Drink,1 can,PowerUp,Happy,$3 ,
13,Cheerful Ceramic Plant Pot,Green,Ceramic,1 piece,GreenerGardens,Happy,$10 ,
14,Blissful Bath Bomb Set,Pastel,Bath Bomb,Set of 6,BubbleDelight,Happy,$25 ,
15,Radiant Rainbow Umbrella,Rainbow,Polyester,1 piece,RainyDays,Happy,$20 ,
16,Merry Music Box,Wood,Music Box,1 piece,MelodyMagic,Happy,$30 ,
17,Beaming LED String Lights,Multicolor,LED,1 set,BrightNights,Happy,$15 ,
18,Happy Home Plant Set,Green,Plants,Set of 3,GreenThumb,Happy,$25 ,
19,Blissful Aromatherapy Candle,Lavender,Soy Wax,1 candle,ScentSational,Happy,$12 ,
20,Joyous Yoga Mat,Purple,Eco-Friendly PVC,1 piece,YogaZen,Happy,$30 ,
21,Cheerful Chef's Apron,Red,Cotton,1 piece,KitchenJoy,Happy,$15 ,
22,Vibrant Watercolor Paint Set,Assorted,Watercolor,Set of 12,CreativeCanvas,Happy,$20 ,
23,Delighted Dog Chew Toy,Blue,Rubber,1 piece,PuppyPlay,Happy,$8 ,
24,Gleeful Gaming Mouse,Black,Plastic,1 piece,GameMaster,Happy,$40 ,
25,Sunny Side Up Egg Pan,Yellow,Non-Stick,1 pan,MorningMagic,Happy,$25 ,
26,Smiling Sun Wall Clock,Yellow,Plastic,1 piece,TimeTeller,Happy,$20 ,
27,Jubilant Journal Set,Assorted,Paper,Set of 3,WriteAway,Happy,$10 ,
28,Happy Camper Tent,Green,Polyester,1 tent,OutdoorOasis,Happy,$50 ,
29,Cheerful Child's Playhouse,Pink,Plastic,1 playhouse,KidzKorner,Happy,$80 ,
30,Whimsical Wind Chimes,Silver,Metal,1 set,MelodicBreeze,Happy,$18 ,
31,Euphoric Essential Oil Diffuser,White,Plastic,1 diffuser,AromaBliss,Happy,$35 ,
32,Happy Hiking Backpack,Blue,Nylon,1 piece,TrailTrekk,Happy,$45 ,
33,Sunny Side Salad Bowl,Yellow,Plastic,1 bowl,FreshFare,Happy,$12 ,
34,Ecstatic Exercise Ball,Red,PVC,1 ball,FitFun,Happy,$20 ,
35,Joyful Juggling Balls,Multicolor,Vinyl,Set of 3,CircusSkills,Happy,$10 ,
36,Grinning Garden Gnome,Red,Resin,1 piece,GardenGlee,Happy,$15 ,
37,Beaming Bookshelf,Brown,Wood,1 piece,Bookworm,Happy,$60 ,
38,Radiant Recipe Book,Assorted,Paper,1 book,CookingCraze,Happy,$25 ,
39,Vibrant Vegetable Spiralizer,Green,Plastic,1 piece,HealthyEats,Happy,$15 ,
40,Smiling Stationery Set,Assorted,Paper,Set of 10,WriteNow,Happy,$8 ,
41,Happy Hammock,Blue,Cotton,1 hammock,RelaxRoo,Happy,$40 ,
42,Delighted Desk Organizer,Pink,Plastic,1 organizer,OfficeJoy,Happy,$15 ,
43,Cheerful Cookie Cutters,Assorted,Metal,Set of 6,BakeBliss,Happy,$10 ,
44,Joyful Jewelry Box,Pink,Wood,1 box,JewelGlow,Happy,$20 ,
45,Sunny Side Picnic Blanket,Yellow,Polyester,1 blanket,PicnicParadise,Happy,$30 ,
46,Laughing Laptop Sleeve,Blue,Neoprene,1 sleeve,TechTrend,Happy,$15 ,
47,Ecstatic Earphones,White,Plastic,1 pair,SoundScape,Happy,$25 ,
48,Merry Mixer,Silver,Stainless Steel,1 mixer,BakeMaster,Happy,$50 ,
49,Glowing Garden Lights,Green,Plastic,1 set,GardenGlow,Happy,$20 ,
50,Cheerful Chef's Knife Set,Assorted,Stainless Steel,Set of 5,KitchenKing,Happy,$40 ,
51,Happy Hairbrush,Pink,Plastic,1 brush,HairHeaven,Happy,$10 ,
52,Radiant Running Shoes,Blue,Mesh,1 pair,RunRight,Happy,$60 ,
53,Smiling Soccer Ball,White,Synthetic,1 ball,SoccerStars,Happy,$20 ,
54,Blissful Bathrobe,White,Cotton,1 robe,SpaSerenity,Happy,$30 ,
